Z2,Heading,H1,needsInitialization,E1,RollGyr,EGyr3,TW,C2,A1,H2,T,W3a,H3,Z1,D2,Pitch,SmoothW2,C1,SmoothGroundSpeed,M1,EGyr1,TWa,EGyr2,Roll,GPSNACp,headingMag,EGyr0,SmoothW1,HeadingGPS,Ta,E0,GPSHorizontalAccuracy,BaroVerticalSpeed,Z3,E3,GroundSpeed,PitchGPS,slipSkid,turnRate,staticMode,EGPS3,A2,M2,C3,GPSFixQuality,W3,HeadingGyr,W2,GPSAltitudeMSL,BaroPressureAltitude,EGPS0,E2,B2,EGPS2,W2a,headingValid,B3,PitchGyr,M3,D1,A3,EGPS1,D3,B1,GPSVerticalAccuracy,W1,RollGPS,W1a,GPSTrueCourse,WValid,gLoad
-0.177199,0.014964,-0.141250,0.000000,0.098160,7.635350,0.706995,-6795364293.331345,0.048773,-0.140263,0.248777,-6795364293.251345,0.000000,-0.141626,-0.197920,0.636311,8.265526,0.000000,0.041263,0.000000,5530.649948,0.097395,-6795364293.331345,-0.003490,7.693616,8.000000,5.738434,0.700472,0.000000,0.000003,-6795364293.301345,0.700353,62.000000,2.148551,-0.952411,0.707007,0.000000,11.535458,-0.184582,-0.002159,1.000000,0.707081,-0.155095,3575.854492,-1.015683,1.000000,0.000000,0.016960,0.000000,66.272972,380.667328,0.694011,-0.003542,0.762963,-0.006064,0.000000,0.000000,0.640889,8.198651,-7306.250743,-1.326792,-0.984527,0.135456,0.508133,-1.590777,124.000000,0.000000,10.552657,0.000000,0.000000,0.000000,0.951477
-0.177611,0.018983,-0.161248,0.000000,0.098791,7.686419,0.706970,-6795364293.241345,0.048773,-0.141077,0.220234,-6795364293.201345,0.000000,-0.150089,-0.196933,0.636311,8.318692,0.000000,0.041263,0.000000,5598.372192,0.098043,-6795364293.331345,-0.003518,7.743772,8.000000,5.738837,0.700406,0.000000,0.000002,-6795364293.251345,0.700289,60.000000,2.148551,-0.952701,0.706982,0.000000,11.501280,-0.184571,-0.002159,1.000000,0.707083,-0.153284,3546.055705,-1.015683,1.000000,0.000000,0.020990,0.000000,66.272972,380.667328,0.694045,-0.003564,0.798568,-0.005820,0.000000,0.000000,0.661234,8.253610,-7335.949534,-1.326792,-0.984690,0.135282,0.508133,-1.541185,120.000000,0.000000,10.558026,0.000000,0.000000,0.000000,0.951612
-0.177770,0.021927,-0.181148,0.000000,0.099411,7.735432,0.706952,-6795364293.241345,0.048773,-0.141179,0.202010,-6795364293.151345,0.000000,-0.126595,-0.197045,0.636311,8.371820,0.000000,0.041263,0.000000,5598.372192,0.098674,-6795364293.241345,-0.003553,7.792083,8.000000,5.737271,0.700336,0.000000,0.000000,-6795364293.201345,0.700219,60.000000,1.395987,-0.951940,0.706964,0.000000,11.501275,-0.184589,-0.002159,1.000000,0.707084,-0.153935,3687.599945,-1.015683,1.000000,0.000000,0.023947,0.000000,66.272972,380.606934,0.694029,-0.003596,0.820185,-0.005735,0.000000,0.000000,0.625629,8.307831,-7373.073024,-1.326792,-0.983489,0.135366,0.508133,-1.525925,120.000000,0.000000,10.571924,0.000000,0.000000,0.000000,0.951612
-0.177602,0.025963,-0.157388,0.000000,0.100024,7.785099,0.706927,-6795364293.131345,0.048773,-0.140833,0.207838,-6795364293.101345,0.000000,-0.149973,-0.197215,0.636311,8.423530,0.000000,0.041263,0.000000,5628.470968,0.099299,-6795364293.241345,-0.003575,7.840659,8.000000,5.737424,0.700272,0.000000,0.000000,-6795364293.151345,0.700157,60.000000,1.395987,-0.952233,0.706939,0.000000,11.505977,-0.184559,-0.002159,1.000000,0.707083,-0.154098,3590.753886,-1.015683,1.000000,0.000000,0.028013,0.000000,60.367455,380.606934,0.694029,-0.003619,0.775679,-0.005794,0.000000,0.000000,0.666321,8.360508,-7335.949534,-1.326792,-0.984242,0.135364,0.508133,-1.543728,120.000000,0.000000,10.567001,0.000000,0.000000,0.000000,0.951687
-0.177628,0.029458,-0.143164,0.000000,0.100635,7.834318,0.706905,-6795364293.131345,0.048773,-0.140996,0.200526,-6795364293.051345,0.000000,-0.139121,-0.197910,0.636311,8.475331,0.000000,0.041263,0.000000,5620.946274,0.099918,-6795364293.131345,-0.003596,7.889010,8.000000,5.738312,0.700206,0.000000,359.999999,-6795364293.101345,0.700091,60.000000,2.446954,-0.951431,0.706918,0.000000,11.541379,-0.184568,-0.002159,1.000000,0.707082,-0.155095,3531.156311,-1.015683,1.000000,0.000000,0.031547,0.000000,60.367455,380.698578,0.693981,-0.003644,0.766778,-0.005977,0.000000,0.000000,0.640889,8.412649,-7306.250743,-1.326792,-0.983001,0.135613,0.508133,-1.529740,120.000000,0.000000,10.572698,0.000000,0.000000,0.000000,0.951627
-0.177457,0.032886,-0.134419,0.000000,0.101239,7.883102,0.706884,-6795364293.031345,0.048773,-0.140751,0.181434,-6795364293.001345,0.000000,-0.135393,-0.196805,0.636311,8.526445,0.000000,0.041263,0.000000,5553.224030,0.100538,-6795364293.131345,-0.003624,7.936784,8.000000,5.738972,0.700139,0.000000,360.000000,-6795364293.051345,0.700025,60.000000,2.446954,-0.950967,0.706897,0.000000,11.511982,-0.184556,-0.002159,1.000000,0.707083,-0.153203,3501.357524,-1.015683,1.000000,0.000000,0.034980,0.000000,60.367455,380.698578,0.694017,-0.003668,0.760420,-0.005807,0.000000,0.000000,0.640889,8.465416,-7335.949534,-1.326792,-0.982574,0.135425,0.508133,-1.505580,120.000000,0.000000,10.570942,0.000000,0.000000,0.000000,0.951541
-0.177742,0.036382,-0.138863,0.000000,0.101834,7.930670,0.706862,-6795364293.031345,0.048773,-0.141118,0.152582,-6795364292.951345,0.000000,-0.132995,-0.196616,0.636311,8.577296,0.000000,0.041263,0.000000,5508.075867,0.101150,-6795364293.031345,-0.003658,7.983329,8.000000,5.738479,0.700072,0.000000,359.999999,-6795364293.001345,0.699960,60.000000,1.574362,-0.952910,0.706875,0.000000,11.479762,-0.184538,-0.002159,1.000000,0.707084,-0.153264,3553.505402,-1.015683,1.000000,0.000000,0.038481,0.000000,60.367455,380.628479,0.694060,-0.003697,0.770592,-0.005631,0.000000,0.000000,0.640889,8.517972,-7417.621211,-1.326792,-0.985626,0.135207,0.508133,-1.472518,120.000000,0.000000,10.567273,0.000000,0.000000,0.000000,0.951761
-0.177059,0.040462,-0.149691,0.000000,0.102411,7.976769,0.706837,-6795364292.931345,0.048773,-0.140060,0.146978,-6795364292.901345,0.000000,-0.144430,-0.196694,0.636311,8.627264,0.000000,0.041263,0.000000,5508.075867,0.101743,-6795364293.031345,-0.003692,8.027992,8.000000,5.737910,0.700011,0.000000,360.000000,-6795364292.951345,0.699901,58.000000,1.574362,-0.952508,0.706850,0.000000,11.477390,-0.184437,-0.002159,1.000000,0.707083,-0.153528,3560.955098,-1.015683,1.000000,0.000000,0.042583,0.000000,60.367455,380.628479,0.694093,-0.003734,0.783308,-0.005775,0.000000,0.000000,0.658691,8.569016,-7350.798930,-1.326792,-0.984161,0.135036,0.508133,-1.477605,116.000000,0.000000,10.541451,0.000000,0.000000,0.000000,0.951819
-0.176820,0.044393,-0.149194,0.000000,0.102978,8.021446,0.706813,-6795364292.931345,0.048773,-0.140019,0.157929,-6795364292.851345,0.000000,-0.144095,-0.197743,0.636311,8.676575,0.000000,0.041263,0.000000,5440.353622,0.102317,-6795364292.931345,-0.003725,8.071479,8.000000,5.735986,0.699952,0.000000,0.000002,-6795364292.901345,0.699842,58.000000,1.543492,-0.952172,0.706826,0.000000,11.521450,-0.184346,-0.002159,1.000000,0.707080,-0.155034,3620.552673,-1.015683,1.000000,0.000000,0.046562,0.000000,60.367455,380.628479,0.694059,-0.003774,0.778222,-0.006139,0.000000,0.000000,0.652333,8.618439,-7373.073024,-1.326792,-0.983917,0.135213,0.508133,-1.495407,116.000000,0.000000,10.526501,0.000000,0.000000,0.000000,0.951840
-0.177436,0.046683,-0.152362,0.000000,0.103545,8.066059,0.706799,-6795364292.841345,0.048773,-0.141036,0.191706,-6795364292.811345,0.000000,-0.138832,-0.197345,0.636311,8.725328,0.000000,0.041263,0.000000,5538.174642,0.102893,-6795364292.931345,-0.003759,8.115669,8.000000,5.735924,0.699882,0.000000,0.000001,-6795364292.851345,0.699772,58.000000,1.543492,-0.951796,0.706812,0.000000,11.520890,-0.184372,-0.002159,1.000000,0.707081,-0.154017,3560.955098,-1.015683,1.000000,0.000000,0.048867,0.000000,60.367455,380.628479,0.694032,-0.003804,0.783308,-0.005991,0.000000,0.000000,0.643432,8.668203,-7350.798930,-1.326792,-0.983510,0.135351,0.508133,-1.538642,116.000000,0.000000,10.549939,0.000000,0.000000,0.000000,0.951819
